8300033771-20170322104732_v52.21,30002-20170322104732_v52.21,6211,NA,-401,13,2010,1491589999
8300033769-20170322104732_v52.21,30002-20170322104732_v52.21,6214,NA,-93,9,8516,1491590007
8300033771-20170322104732_v52.21,30002-20170322104732_v52.21,6211,NA,-401,13,2010,1491589999
8300033769-20170322104732_v52.21,30002-20170322104732_v52.21,6214,NA,-150,10,8524,1491590100
8300033771-20170322104732_v52.21,30002-20170322104732_v52.21,6211,NA,-401,13,2010,1491589999
8300033769-20170322104732_v52.21,30002-20170322104732_v52.21,6214,-88,NA,10,8524,1491590162
8300033771-20170322104732_v52.21,30002-20170322104732_v52.21,6211,NA,-401,13,2010,1491589999
8300033769-20170322104732_v52.21,30002-20170322104732_v52.21,6214,-138,NA,11,8532,1491590262
8300033769-20170322104732_v52.21,30002-20170322104732_v52.21,6214,-138,NA,11,8532,1491590262
8300033769-20170322104732_v52.21,30002-20170322104732_v52.21,6214,-138,NA,11,8532,1491590262
8300033769-20170322104732_v52.21,30002-20170322104732_v52.21,6214,-138,NA,11,8532,1491590262
8300033769-20170322104732_v52.21,30002-20170322104732_v52.21,6214,-138,NA,11,8532,1491590262
8300033772-20170322104732_v52.21,30002-20170322104732_v52.21,621F,NA,79,2,1464,1491590929
8300033772-20170322104732_v52.21,30002-20170322104732_v52.21,621F,NA,79,2,1464,1491590929
8300033772-20170322104732_v52.21,30002-20170322104732_v52.21,621F,188,NA,2,1464,1491591038
8300033772-20170322104732_v52.21,30002-20170322104732_v52.21,621F,188,NA,2,1464,1491591038
8300033769-20170322104732_v52.21,30002-20170322104732_v52.21,6214,NA,-723,12,2006,1491591177
8300033772-20170322104732_v52.21,30002-20170322104732_v52.21,621F,188,NA,2,1464,1491591038
8300033769-20170322104732_v52.21,30002-20170322104732_v52.21,6214,NA,-723,12,2006,1491591177
8300033772-20170322104732_v52.21,30002-20170322104732_v52.21,621F,NA,201,3,7060,1491591201
8300033769-20170322104732_v52.21,30002-20170322104732_v52.21,6214,NA,-723,12,2006,1491591177
8300033772-20170322104732_v52.21,30002-20170322104732_v52.21,621F,NA,201,3,7060,1491591201
8300033769-20170322104732_v52.21,30002-20170322104732_v52.21,6214,NA,-723,12,2006,1491591177
8300033772-20170322104732_v52.21,30002-20170322104732_v52.21,621F,307,NA,3,7060,1491591307
8300033769-20170322104732_v52.21,30002-20170322104732_v52.21,6214,NA,-811,13,2010,1491591389
8300033772-20170322104732_v52.21,30002-20170322104732_v52.21,621F,307,NA,3,7060,1491591307
8300033769-20170322104732_v52.21,30002-20170322104732_v52.21,6214,NA,-811,13,2010,1491591389
8300033772-20170322104732_v52.21,30002-20170322104732_v52.21,621F,293,NA,4,7062,1491591443
8300033769-20170322104732_v52.21,30002-20170322104732_v52.21,6214,NA,-811,13,2010,1491591389
8300033772-20170322104732_v52.21,30002-20170322104732_v52.21,621F,222,NA,5,7164,1491591522
8300033769-20170322104732_v52.21,30002-20170322104732_v52.21,6214,NA,-811,13,2010,1491591389
8300033772-20170322104732_v52.21,30002-20170322104732_v52.21,621F,98,NA,6,7168,1491591548
8300033769-20170322104732_v52.21,30002-20170322104732_v52.21,6214,NA,-811,13,2010,1491591389
8300033772-20170322104732_v52.21,30002-20170322104732_v52.21,621F,98,NA,6,7168,1491591548
8300033772-20170322104732_v52.21,30002-20170322104732_v52.21,621F,NA,106,7,8502,1491591706
8300033772-20170322104732_v52.21,30002-20170322104732_v52.21,621F,119,NA,7,8502,1491591719
8300033772-20170322104732_v52.21,30002-20170322104732_v52.21,621F,119,NA,7,8502,1491591719
8300033772-20170322104732_v52.21,30002-20170322104732_v52.21,621F,137,NA,8,8512,1491591887
8300033772-20170322104732_v52.21,30002-20170322104732_v52.21,621F,46,NA,9,8516,1491591946
8300033772-20170322104732_v52.21,30002-20170322104732_v52.21,621F,46,NA,9,8516,1491591946
8300033772-20170322104732_v52.21,30002-20170322104732_v52.21,621F,-12,NA,10,8524,1491592038
8300033772-20170322104732_v52.21,30002-20170322104732_v52.21,621F,-72,NA,11,8532,1491592128
8300033772-20170322104732_v52.21,30002-20170322104732_v52.21,621F,-72,NA,11,8532,1491592128
8300033772-20170322104732_v52.21,30002-20170322104732_v52.21,621F,-72,NA,11,8532,1491592128
8300033772-20170322104732_v52.21,30002-20170322104732_v52.21,621F,-72,NA,11,8532,1491592128
8300033772-20170322104732_v52.21,30002-20170322104732_v52.21,621F,-72,NA,11,8532,1491592128
8300033772-20170322104732_v52.21,30002-20170322104732_v52.21,621F,NA,-673,12,2006,1491593027
8300033772-20170322104732_v52.21,30002-20170322104732_v52.21,621F,NA,-673,12,2006,1491593027
8300033772-20170322104732_v52.21,30002-20170322104732_v52.21,621F,NA,-673,12,2006,1491593027
8300033772-20170322104732_v52.21,30002-20170322104732_v52.21,621F,NA,-673,12,2006,1491593027
8300033772-20170322104732_v52.21,30002-20170322104732_v52.21,621F,NA,-773,13,2010,1491593227
8300033772-20170322104732_v52.21,30002-20170322104732_v52.21,621F,NA,-773,13,2010,1491593227
