route_long_name,route_type,route_text_color,agency_id,route_id,route_color,route_short_name
Howick To Middlemore Via Otara And Highbrook,3,,HE,57503-20170524122152_v54.17,,575
Britomart To Glen Innes Via Parnell And Grand Dr,3,,NZBML,63502-20170524122152_v54.17,,635
Auckland To Birkenhead Via Northcote Point,4,,FGL,91012-20170524122152_v54.17,,BIRK
Baradene College To St Heliers,3,,NZBML,02152-20170524122152_v54.17,,021
Britomart To North Park Via Newmarket,3,,HE,55102-20170524122152_v54.17,,551
International Airport To Downtown Via Mt Eden Rd,3,,ABEXP,30003-20170524122152_v54.17,,SKY
Mayoral Dr To Browns Bay Express,3,,NZBNS,86004-20170524122152_v54.17,,86X
Rosmini College To Verrans Corner,3,,BTL,03356-20170524122152_v54.17,,033
City Centre To Pt Chevalier Via Muripara,3,,NZBML,03004-20170524122152_v54.17,,030
New Lynn To Hobsonville,3,,RTH,13006-20170524122152_v54.17,,130
Pt Chevalier To Glen Innes Via Greenlane Hospital,3,,NZBML,00702-20170524122152_v54.17,,007
Glendene To Avondale College,3,,RTH,01559-20170524122152_v54.17,,015
Long Bay To Mayoral Dr Via Forrest Hill,3,,NZBNS,87901-20170524122152_v54.17,,879
Mayoral Dr To Torbay Express Via Forrest Hill,3,,NZBNS,87704-20170524122152_v54.17,,877X
Stanley Bay To Auckland,4,,FGL,99311-20170524122152_v54.17,,SBAY
Blockhouse Bay Intermediate to New Lynn Via Green Bay (N),3,,NZBGW,19516-20170524122152_v54.17,,195
Bayview To Takapuna,3,,BTL,91503-20170524122152_v54.17,,915
Britomart To Portland Rd,3,,NZBML,70302-20170524122152_v54.17,,703
Mangere Town Centre To City Centre (Express),3,,GBT,30903-20170524122152_v54.17,,309X
Manurewa Schools To Clendon,3,,RTH,00262-20170524122152_v54.17,,002
Helensville To Westgate,3,,RTH,06003-20170524122152_v54.17,,060
West Harbour and Massey to Takapuna Schools,3,,PBC,32951-20170524122152_v54.17,,329
Glen Innes To Britomart Via St Johns And Khyber Pass Rd,3,,NZBML,62501-20170524122152_v54.17,,625
City Centre To Te Atatu South Via New Lynn And Henderson (S),3,,NZBML,52105-20170524122152_v54.17,,N13
Auckland 2 To Waiheke Island 2 Via Devonport,4,,FGL,98026-20170524122152_v54.17,,MTIA
Macleans College To Botany Downs,3,,HE,08154-20170524122152_v54.17,,081
Auckland To Birkenhead,4,,FGL,91014-20170524122152_v54.17,,BIRK
Whenuapai To Westgate,3,,RTH,09301-20170524122152_v54.17,,093
Midtown To Glenfield Mall,3,,BTL,95002-20170524122152_v54.17,,950
Sancta Maria Schools To Highland Park,3,,HE,01858-20170524122152_v54.17,,018
Beach Haven To Midtown Via Birkdale Rd And Highbury Bypass,3,,BTL,97305-20170524122152_v54.17,,973
Takapuna To Mayoral Dr Via Northcote,3,,RTH,92203-20170524122152_v54.17,,922
Takapuna To Albany Station,3,,NZBNS,89102-20170524122152_v54.17,,891
Britomart to Otahuhu via Glen Innes and Mission Heights,3,,NZBML,75704-20170524122152_v54.17,,757
Eastridge To St Heliers Via Mission Bay,3,,NZBML,77106-20170524122152_v54.17,,771
Albany Schools to Meadowood,3,,RTH,06058-20170524122152_v54.17,,060
Botany Town Centre To Farm Cove Intermediate,3,,HE,05653-20170524122152_v54.17,,056
Midtown To New Lynn Via Sandringham Rd and St Lukes (4-6pm),3,,NZBML,23304-20170524122152_v54.17,,233
Glen Innes To Britomart Express Via Tamaki Dr And Upland Rd,3,,NZBML,68501-20170524122152_v54.17,,685X
Kingsland Train Station to Swanson Train Station,2,,AM,10200-20170524122152_v54.17,,WEST
City Centre To Laingholm Express,3,,RTH,17104-20170524122152_v54.17,,171X
Britomart Train Station to Swanson Train Station,2,,AM,10236-20170524122152_v54.17,,WEST
Takapuna Grammar To Devonport,3,,RTH,08054-20170524122152_v54.17,,080
Glenfield Intermediate To Beach Haven,3,,BTL,07758-20170524122152_v54.17,,077
Onetangi To Matiatia Wharf via Jellicoe Parade,3,,WBC,00109-20170524122152_v54.17,,1
Otahuhu Station to Britomart via Great South Road,3,,NZBML,32201-20170524122152_v54.17,,322
Takapuna To East Coast Bays Schools,3,,NZBNS,02353-20170524122152_v54.17,,023
The Plaza to Gulf Harbour Ferry via Shakespear Regional Park,3,,NZBNS,98802-20170524122152_v54.17,,988
Otahuhu To Britomart Express Via Mt Wellington,3,,NZBML,50007-20170524122152_v54.17,,50X
